dataset,model_type,lambda,distance_type,epoch,train_loss,train_acc,reg_term,embedding_norm,embedding_similarity,test_loss,test_acc,accuracy,precision,recall,f1_score,TP,FP,FN,TN,train_aucc,test_aucc
CIFAR10,CNN,0.1,baseline,1,1.56039,43.956,0.0,19.36535,0.76377,1.31871,53.31,0.5331,0.54284,0.5331,0.52725,5331,4669,4669,85331,,
CIFAR10,CNN,0.1,baseline,2,1.22124,56.474,0.0,23.90121,0.72131,1.14373,58.77,0.5877,0.59212,0.5877,0.57769,5877,4123,4123,85877,,
CIFAR10,CNN,0.1,baseline,3,1.07985,61.78,0.0,24.74031,0.70641,1.06381,62.23,0.6223,0.6322,0.6223,0.6191,6223,3777,3777,86223,,
CIFAR10,CNN,0.1,baseline,4,0.97716,65.816,0.0,25.08232,0.68736,1.02181,63.82,0.6382,0.65818,0.6382,0.63912,6382,3618,3618,86382,,
CIFAR10,CNN,0.1,baseline,5,0.89815,68.698,0.0,25.27758,0.67016,0.93306,67.37,0.6737,0.67761,0.6737,0.67237,6737,3263,3263,86737,,
CIFAR10,CNN,0.1,baseline,6,0.83364,71.028,0.0,25.36712,0.65461,0.93038,67.51,0.6751,0.68989,0.6751,0.67098,6751,3249,3249,86751,,
CIFAR10,CNN,0.1,baseline,7,0.77746,73.048,0.0,25.81888,0.64401,0.87802,69.5,0.695,0.69936,0.695,0.6933,6950,3050,3050,86950,,
CIFAR10,CNN,0.1,baseline,8,0.72919,74.702,0.0,25.75439,0.62575,0.86755,70.47,0.7047,0.70434,0.7047,0.6997,7047,2953,2953,87047,,
CIFAR10,CNN,0.1,baseline,9,0.68653,76.21,0.0,26.28419,0.61729,0.83543,71.33,0.7133,0.71262,0.7133,0.71082,7133,2867,2867,87133,,
CIFAR10,CNN,0.1,baseline,10,0.64403,77.72,0.0,26.43177,0.60157,0.84738,70.69,0.7069,0.70938,0.7069,0.70298,7069,2931,2931,87069,,
CIFAR10,CNN,0.1,baseline,11,0.60337,79.226,0.0,26.94058,0.59074,0.85313,71.33,0.7133,0.72734,0.7133,0.71402,7133,2867,2867,87133,,
CIFAR10,CNN,0.1,baseline,12,0.56281,80.614,0.0,27.58705,0.58248,0.8308,71.9,0.719,0.7197,0.719,0.71609,7190,2810,2810,87190,,
CIFAR10,CNN,0.1,baseline,13,0.52613,81.98,0.0,28.14786,0.57288,0.85032,72.02,0.7202,0.7246,0.7202,0.71794,7202,2798,2798,87202,,
CIFAR10,CNN,0.1,baseline,14,0.4912,82.998,0.0,28.58402,0.5612,0.87535,71.22,0.7122,0.72496,0.7122,0.7111,7122,2878,2878,87122,,
CIFAR10,CNN,0.1,baseline,15,0.45188,84.39,0.0,29.49053,0.55588,0.86931,72.05,0.7205,0.72036,0.7205,0.71854,7205,2795,2795,87205,,
CIFAR10,CNN,0.1,baseline,16,0.41787,85.81,0.0,30.14889,0.54739,0.87838,72.26,0.7226,0.72652,0.7226,0.7236,7226,2774,2774,87226,,
CIFAR10,CNN,0.1,baseline,17,0.3854,86.988,0.0,31.16445,0.54447,0.91418,71.91,0.7191,0.72163,0.7191,0.71904,7191,2809,2809,87191,,
CIFAR10,CNN,0.1,baseline,18,0.35221,88.256,0.0,32.29975,0.54086,0.92152,72.28,0.7228,0.72285,0.7228,0.72161,7228,2772,2772,87228,,
CIFAR10,CNN,0.1,baseline,19,0.32206,89.294,0.0,33.01501,0.5332,0.94936,71.98,0.7198,0.72109,0.7198,0.71908,7198,2802,2802,87198,,
CIFAR10,CNN,0.1,baseline,20,0.2901,90.4,0.0,34.18774,0.52845,1.01955,71.07,0.7107,0.71543,0.7107,0.70894,7107,2893,2893,87107,1452.21,1310.83
CIFAR10,CNN,0.25,baseline,1,1.54421,44.616,0.0,19.56514,0.75105,1.32179,53.65,0.5365,0.55553,0.5365,0.53313,5365,4635,4635,85365,,
CIFAR10,CNN,0.25,baseline,2,1.2142,57.198,0.0,23.89044,0.72167,1.13444,59.55,0.5955,0.59778,0.5955,0.59566,5955,4045,4045,85955,,
CIFAR10,CNN,0.25,baseline,3,1.07879,61.908,0.0,24.51206,0.70183,1.05955,62.75,0.6275,0.63454,0.6275,0.62529,6275,3725,3725,86275,,
CIFAR10,CNN,0.25,baseline,4,0.98409,65.686,0.0,24.71408,0.68116,1.02814,64.12,0.6412,0.65575,0.6412,0.63228,6412,3588,3588,86412,,
CIFAR10,CNN,0.25,baseline,5,0.90789,68.412,0.0,24.54215,0.65469,0.94239,67.36,0.6736,0.6766,0.6736,0.67318,6736,3264,3264,86736,,
CIFAR10,CNN,0.25,baseline,6,0.84437,70.624,0.0,24.79832,0.63841,0.91859,68.09,0.6809,0.68702,0.6809,0.6807,6809,3191,3191,86809,,
CIFAR10,CNN,0.25,baseline,7,0.78919,72.674,0.0,25.23869,0.62372,0.89345,68.7,0.687,0.68837,0.687,0.68669,6870,3130,3130,86870,,
CIFAR10,CNN,0.25,baseline,8,0.7372,74.318,0.0,25.57767,0.6092,0.88937,69.01,0.6901,0.69843,0.6901,0.68914,6901,3099,3099,86901,,
CIFAR10,CNN,0.25,baseline,9,0.69153,75.986,0.0,25.9127,0.59257,0.88537,69.68,0.6968,0.70491,0.6968,0.69618,6968,3032,3032,86968,,
CIFAR10,CNN,0.25,baseline,10,0.64223,77.788,0.0,26.61404,0.58108,0.87371,70.39,0.7039,0.71281,0.7039,0.70648,7039,2961,2961,87039,,
CIFAR10,CNN,0.25,baseline,11,0.60565,78.83,0.0,26.87835,0.56233,0.87154,70.09,0.7009,0.70825,0.7009,0.70238,7009,2991,2991,87009,,
CIFAR10,CNN,0.25,baseline,12,0.5599,80.654,0.0,27.7792,0.55388,0.90182,70.41,0.7041,0.71016,0.7041,0.70153,7041,2959,2959,87041,,
CIFAR10,CNN,0.25,baseline,13,0.52149,81.882,0.0,28.28234,0.54112,0.88415,71.06,0.7106,0.71585,0.7106,0.70938,7106,2894,2894,87106,,
CIFAR10,CNN,0.25,baseline,14,0.48046,83.388,0.0,29.27294,0.53549,0.92508,69.87,0.6987,0.7123,0.6987,0.69912,6987,3013,3013,86987,,
CIFAR10,CNN,0.25,baseline,15,0.44593,84.686,0.0,30.18105,0.52827,0.91096,71.65,0.7165,0.71505,0.7165,0.71218,7165,2835,2835,87165,,
